enabled;name;label;data_type;address;access;comment
TRUE;TWait9;time;Real;;Read;Other maintenance [s]
TRUE;TOff1;time;Real;;Read;Mechanical issue [s]
TRUE;TOff2;time;Real;;Read;Electrical issue [s]
TRUE;TOff3;time;Real;;Read;Process issue[s]
TRUE;TOff4;time;Real;;Read;Other issue [s]
TRUE;SKIP_ULD1CHpv;other;Real;;Read;ULD skip side position at first charge - Process Value [%]
TRUE;PIPE_ULD1CHpv;other;Real;;Read;ULD pipe side position at first charge - Process Value [%]
TRUE;ULD1CHsp;other;Real;;Read;ULD position at first charge - Setpoint [%]
TRUE;SKIP_ULD2CHpv;other;Real;;Read;ULD skip side position at second charge - Process Value [%]
TRUE;PIPE_ULD2CHpv;other;Real;;Read;ULD pipe side position at second charge - Process Value [%]
TRUE;ULD2CHsp;other;Real;;Read;ULD position at second charge - Setpoint [%]
TRUE;SKIP_ULD3CHpv;other;Real;;Read;ULD skip side position at third charge - Process Value [%]
TRUE;PIPE_ULD3CHpv;other;Real;;Read;ULD pipe side position at third charge - Process Value [%]
TRUE;ULD3CHsp;other;Real;;Read;ULD position at third charge - Setpoint [%]
TRUE;LSCY1pv;production;Real;;Read;LSCY at first charge - Process Value [Kg]
TRUE;LSCY1sp;production;Real;;Read;LSCY at first charge - Setpoint [Kg]
TRUE;LSCY2pv;production;Real;;Read;LSCY at second charge - Process Value [Kg]
TRUE;LSCY2sp;production;Real;;Read;LSCY at second charge - Setpoint [Kg]
TRUE;LSCY3pv;production;Real;;Read;LSCY at third charge - Process Value [Kg]
TRUE;LSCY3sp;production;Real;;Read;LSCY at third charge - Setpoint [Kg]
TRUE;TCH1;time;Real;;Read;Time first charge [s]
TRUE;TCH2;time;Real;;Read;Time second charge [s]
TRUE;TCH3;time;Real;;Read;Time third charge [s]
TRUE;LSTARCMB;level;Real;;Read;Level position in shaft in combustion at cycle start [%]
TRUE;LSTOPCMB;level;Real;;Read;Level position in shaft in combustion at cycle end [%]
TRUE;LSTARPRH;level;Real;;Read;Level position in shaft in preheating at cycle start [%]
TRUE;LSTOPPRH;level;Real;;Read;Level position in shaft in preheating at cycle end [%]
TRUE;LVLCMBsp;level;Real;;Read;Setpoint level in shaft in combustion [%]
TRUE;LVLPRHsp;level;Real;;Read;Setpoint level in shaft in preheating [%]
TRUE;EXTCMB;other;Real;;Read;"Extraction Mode in Combustion [0=By level; 1=By Strokes] [#]"
TRUE;EXTPRH;other;Real;;Read;"Extraction Mode in Preheating [0=By level; 1=By Strokes] [#]"
TRUE;S1EXTAUTO;other;Real;;Read;"Shaft 1 - Drawmatic in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;S2EXTAUTO;other;Real;;Read;"Shaft 2 - Drawmatic in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;S1MNRATIO;other;Real;;Read;Shaft 1 - Ratio Setpoint of Strokes main drawer [#]
TRUE;S1SCRATIO;other;Real;;Read;Shaft 1 - Ratio Setpoint of Strokes secondary drawer [#]
TRUE;S1FSTLVL;other;Real;;Read;Shaft 1 - Delay start fast extraction in level mode [s]
TRUE;S1STROKsp;other;Real;;Read;Shaft 1 - Setpoint of total strokes [#]
TRUE;S1SDELAYsp;other;Real;;Read;Shaft 1 - Setpoint delay time between two strokes [s]
TRUE;S1FSTSTRT;other;Real;;Read;Shaft 1 - Delay start fast extraction in strokes mode [s]
TRUE;S2MNRATIO;other;Real;;Read;Shaft 2 - Ratio Setpoint of Strokes main drawer [#]
TRUE;S2SCRATIO;other;Real;;Read;Shaft 2 - Ratio Setpoint of Strokes secondary drawer [#]
TRUE;S2FSTLVL;other;Real;;Read;Shaft 2 - Delay start fast extraction in level mode [s]
TRUE;S2STROKsp;other;Real;;Read;Shaft 2 - Setpoint of total strokes [#]
TRUE;S2SDELAYsp;other;Real;;Read;Shaft 2 - Setpoint delay time between two strokes [s]
TRUE;S2FSTSTR;other;Real;;Read;Shaft 2 - Delay start fast extraction in strokes mode [s]
TRUE;EANAUTO;other;Real;;Read;"EANMATIC in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;ALCAUTO;other;Real;;Read;"COOLMATIC in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;FUELAUTO;other;Real;;Read;"FUELMATIC in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;FILTERAUTO;other;Real;;Read;"FILTERMATIC in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;REDAUTO;other;Real;;Read;"FIREREDUCTION in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;CUTAUTO;other;Real;;Read;"FIRECUT in automatic mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;TSTRREDsp;other;Real;;Read;Temperature Setpoint for start fuel reduction [°C]
TRUE;TSTPREDsp;other;Real;;Read;Temperature Setpoint for stop fuel reduction [°C]
TRUE;PERCREDsp;other;Real;;Read;Percentage of fuel reduction [%]
TRUE;TSTRCUTsp;other;Real;;Read;Temperature Setpoint for start fuel cut [°C]
TRUE;TSTPCUTsp;other;Real;;Read;Temperature Setpoint for stop fuel cut [°C]
TRUE;REDENABL;other;Real;;Read;Fuel reduction enabled during last cycle [#]
TRUE;REDTIMEpv;other;Real;;Read;Working time of Fuel reduction during last cycle [s]
TRUE;CUTENABL;other;Real;;Read;Fuel cut enabled during last cycle [#]
TRUE;CUTTIMEpv;other;Real;;Read;Working time of Fuel cut during last cycle [s]
TRUE;PATM;other;Real;;Read;Barometric Pressure [mbar]
TRUE;FCVS1pv;other;Real;;Read;FCV Lime cooling valve - Shaft 1 - Process value [%]
TRUE;FCVS1sp;other;Real;;Read;FCV Lime cooling valve - Shaft 1 - Setpoint [%]
TRUE;FCVS1AUTO;other;Real;;Read;"Shaft 1 - Flow Control Valve in auto mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;FCVS2pv;other;Real;;Read;FCV Lime cooling valve - Shaft 2 - Process value [%]
TRUE;FCVS2sp;other;Real;;Read;FCV Lime cooling valve - Shaft 2 - Setpoint [%]
TRUE;FCVS2AUTO;other;Real;;Read;"Shaft 2 - Flow Control Valve in auto mode [0=Manual Mode; 1=Automatic Mode] [#]"
TRUE;CMB1pv;speed;Real;;Read;Combustion Air Blower 1 - Speed - Process Value [rpm]
TRUE;CMB1sp;speed;Real;;Read;Combustion Air Blower 1 - Speed - Setpoint [rpm]
TRUE;CMB2pv;speed;Real;;Read;Combustion Air Blower 2 - Speed - Process Value [rpm]
TRUE;CMB2SP;speed;Real;;Read;Combustion Air Blower 2 - Speed - Set Point [rpm]
TRUE;CMB3pv;speed;Real;;Read;Combustion Air Blower 3 - Speed - Process Value [rpm]
TRUE;CMB3sp;speed;Real;;Read;Combustion Air Blower 3 - Speed - Set Point [rpm]
TRUE;LCB1pv;speed;Real;;Read;Lime Cooling Air Blower 1 - Speed - Process Value [rpm]
TRUE;LCB1sp;speed;Real;;Read;Lime Cooling Air Blower 1 - Speed - Setpoint [rpm]
TRUE;LCB2pv;speed;Real;;Read;Lime Cooling Air Blower 2 - Speed - Process Value [rpm]
TRUE;LCB2sp;speed;Real;;Read;Lime Cooling Air Blower 2 - Speed - Set Point [rpm]
TRUE;FANpv;speed;Real;;Read;Filter Fan - Speed - Process Value [rpm]
TRUE;FANsp;speed;Real;;Read;Filter Fan - Speed - Setpoint [rpm]
TRUE;S1CAPSPpv;speed;Real;;Read;Shaft 1 - Lances cooling blower - Speed - Process value [rpm]
TRUE;S1CAPSPsp;speed;Real;;Read;Shaft 1 - Lances cooling blower - Speed - Setpoint [rpm]
TRUE;S2CAPSPpv;speed;Real;;Read;Shaft 2 - Lances cooling blower - Speed - Process value [rpm]
TRUE;S2CAPSPsp;speed;Real;;Read;Shaft 2 - Lances cooling blower - Speed - Setpoint [rpm]
TRUE;CTBSPpv;speed;Real;;Read;Transport air - Speed - Process value [rpm]
TRUE;CTBSPsp;speed;Real;;Read;Transport air - Speed - Setpoint [rpm]
TRUE;CMB1CUR;current;Real;;Read;Combustion Air Blower 1 - Current - Process Value
TRUE;CMB2CUR;current;Real;;Read;Combustion Air Blower 2 - Current - Process Value
TRUE;CMB3CUR;current;Real;;Read;Combustion Air Blower 3 - Current - Process Value
TRUE;LCB1CUR;current;Real;;Read;Lime Cooling Air Blower 1 - Current - Process Value
TRUE;LCB2CUR;current;Real;;Read;Lime Cooling Air Blower 2 - Current - Process Value
TRUE;FANCUR;current;Real;;Read;Filter Fan - Current - Process Value
TRUE;S1CAPCUR;current;Real;;Read;Shaft 1 - Lance cooling blower - Current - Process value
TRUE;S2CAPCUR;current;Real;;Read;Shaft 2 - Lance cooling blower - Current - Process value
TRUE;CTBCURR;current;Real;;Read;Transport air - Current - Process value
TRUE;HYDP1CUR;current;Real;;Read;Hydraulic Unit - Pump 1 - Current
TRUE;HYDP2CUR;current;Real;;Read;Hydraulic Unit - Pump 2 - Current
